	64	1	38M	64M	35	16	512	32M	64M	200	2048
	64	2	38M	64M	35	16	512	32M	64M	400	2048
	64	8	38M	64M	35	16	512	32M	64M	1600	2048
	64	32	38M	64M	35	16	512	32M	64M	4000	2048
	128	1	76M	64M	35	16	512	32M	64M	200	2048
	128	2	76M	64M	35	16	512	32M	64M	400	2048
	128	8	76M	64M	35	16	512	32M	64M	1600	2048
	128	32	76M	64M	35	16	512	32M	64M	4000	2048
	200	1	120M	64M	35	16	512	32M	64M	200	2048
	200	2	120M	64M	35	16	512	32M	64M	400	2048
	200	8	120M	64M	35	16	512	32M	64M	1600	2048
	200	32	120M	64M	35	16	512	32M	64M	4000	2048
	213	1	127M	64M	35	16	512	32M	64M	200	2048
	213	2	127M	64M	35	16	512	32M	64M	400	2048
	213	8	127M	64M	35	16	512	32M	64M	1600	2048
	213	32	127M	64M	35	16	512	32M	64M	4000	2048
	214	1	128M	64M	35	16	512	32M	64M	200	2048
	214	2	128M	64M	35	16	512	32M	64M	400	2048
	214	8	128M	64M	35	16	512	32M	64M	1600	2048
	214	32	128M	64M	35	16	512	32M	64M	4000	2048
	256	1	128M	64M	35	16	512	32M	64M	200	2048
	256	2	128M	64M	35	16	512	32M	64M	400	2048
	256	8	128M	64M	35	16	512	32M	64M	1600	2048
	256	32	128M	64M	35	16	512	32M	64M	4000	2048
	512	1	128M	64M	35	16	512	32M	64M	200	2048
	512	2	128M	64M	35	16	512	32M	64M	400	2048
	512	8	128M	64M	35	16	512	32M	64M	1600	2048
	512	32	128M	64M	35	16	512	32M	64M	4000	2048
	1024	1	225M	64M	35	16	512	32M	64M	200	2048
	1024	2	225M	64M	35	16	512	32M	64M	400	2048
	1024	8	225M	64M	35	16	512	32M	64M	1600	2048
	1024	32	225M	64M	35	16	512	32M	64M	4000	2048
	1025	1	256M	64M	50	24	512	48M	64M	200	2048
	1025	2	256M	64M	50	24	512	48M	64M	400	2048
	1025	8	256M	64M	50	24	512	48M	64M	1600	2048
	1025	32	256M	64M	50	24	512	48M	64M	4000	2048
	2048	1	512M	128M	50	24	512	48M	64M	200	2048
	2048	2	512M	128M	50	24	512	48M	64M	400	2048
	2048	8	512M	128M	50	24	512	48M	64M	1600	2048
	2048	32	512M	128M	50	24	512	48M	64M	4000	2048
	2049	1	573M	143M	80	32	1024	64M	96M	200	2640
	2049	2	573M	143M	80	32	1024	64M	96M	400	2640
	2049	8	573M	143M	80	32	1024	64M	96M	1600	2640
	2049	32	573M	143M	80	32	1024	64M	96M	4000	2640
	4096	1	1146M	286M	80	32	1024	64M	96M	200	2640
	4096	2	1146M	286M	80	32	1024	64M	96M	400	2640
	4096	8	1146M	286M	80	32	1024	64M	96M	1600	2640
	4096	32	1146M	286M	80	32	1024	64M	96M	4000	2640
	4097	1	1311M	327M	120	48	1024	96M	128M	200	2680
	4097	2	1311M	327M	120	48	1024	96M	128M	400	2680
	4097	8	1311M	327M	120	48	1024	96M	128M	1600	2680
	4097	32	1311M	327M	120	48	1024	96M	128M	4000	2680
	8192	1	2621M	655M	120	48	1024	96M	128M	200	2680
	8192	2	2621M	655M	120	48	1024	96M	128M	400	2680
	8192	8	2621M	655M	120	48	1024	96M	128M	1600	2680
	8192	32	2621M	655M	120	48	1024	96M	128M	4000	2680
	8193	1	2949M	737M	180	64	2048	128M	128M	200	4788
	8193	2	2949M	737M	180	64	2048	128M	128M	400	4788
	8193	8	2949M	737M	180	64	2048	128M	128M	1600	4788
	8193	32	2949M	737M	180	64	2048	128M	128M	4000	4788
